,wind_mph,lat,lon
1974,10.69,33.053006,-116.850651
1975,10.67,33.889103,-117.278368
1976,10.67,34.238208,-118.55029
1977,10.66,33.88274,-117.224878
1981,10.63,37.791409,-122.40213
1982,10.63,37.98079,-122.337627
1984,10.61,34.209532,-118.577563
1986,10.60,34.184616,-118.576125
1987,10.59,33.637201,-116.627212
1988,10.59,34.111885,-118.261033
1989,10.59,33.768539,-116.753396
1990,10.59,34.123305,-118.671025
1991,10.58,33.65844,-117.826009
1992,10.58,33.827409,-117.524128
1994,10.57,34.255442,-118.421314
1995,10.56,37.768106,-122.386927
1996,10.55,34.198292,-118.600913
1998,10.55,37.789864,-122.393665
1999,10.54,33.818477,-118.038307
2000,10.54,32.608865,-116.71966
2001,10.53,33.709935,-117.870431
2002,10.52,33.891133,-117.326749
2003,10.52,37.775545,-122.218705
2005,10.51,33.253548,-117.003366
2006,10.50,33.747155,-117.907326
2007,10.49,33.346808,-116.853215
2008,10.48,37.799367,-122.398407
2009,10.47,33.601966,-117.864254
2010,10.46,33.606695,-117.60436
2011,10.45,36.784482,-121.759054
2012,10.45,33.807607,-117.015163
2014,10.44,34.15404,-118.593153
2015,10.43,33.721131,-117.90511
2017,10.42,34.230854,-118.365856
2018,10.41,33.955729,-118.118346
2019,10.40,34.155097,-118.547553
2021,10.40,33.451469,-117.659056
2023,10.38,33.748086,-117.468037
2024,10.38,32.808563,-116.710076
2025,10.38,34.222506,-118.444689
2026,10.37,33.298504,-116.924783
2028,10.36,36.82815,-121.776583
2029,10.35,33.850616,-118.039565
2030,10.35,34.185767,-118.388323
2031,10.35,33.828396,-117.20766
2035,10.31,34.107753,-118.616219
2036,10.30,36.469275,-118.800919
2039,10.28,33.752476,-117.612554
2040,10.26,34.207341,-118.400973
2041,10.25,33.74513,-117.984873
2042,10.24,33.994523,-118.149952
2043,10.23,34.165783,-118.399795
2048,10.20,34.199824,-118.447609
2049,10.20,33.867743,-118.069472
2050,10.19,33.795196,-116.932856
2051,10.19,33.8676,-118.080612
2055,10.17,33.830482,-118.073451
2056,10.15,33.492391,-116.837955
2057,10.13,33.841027,-118.079141
2059,10.13,34.195685,-118.490752
2060,10.13,33.783064,-118.026268
2061,10.11,33.649528,-117.376774
2062,10.08,37.791887,-122.245334
2064,10.07,34.1692,-118.372498
2075,10.07,33.680226,-117.526144
2076,10.06,37.82935,-122.203507
2078,10.04,33.708982,-117.198853
2079,9.98,37.87992,-122.184572
2080,9.97,34.150212,-119.127729
2083,9.95,33.787292,-117.320673
2084,9.95,34.160236,-118.515472
2085,9.95,33.746707,-117.172142
2086,9.93,33.692673,-117.302957
2087,9.93,33.758663,-117.109484
2089,9.93,33.810743,-117.105415
2092,9.91,34.108023,-118.456964
2094,9.91,34.44137,-119.514092
2095,9.91,34.08746,-118.544232
2105,9.90,33.694019,-117.250341
2106,9.86,33.634626,-117.874882
2110,9.86,34.148617,-118.433298
2111,9.85,34.227892,-119.079552
2113,9.85,33.906956,-118.08264
2114,9.84,34.149588,-118.489708
2115,9.80,33.795012,-118.062692
2116,9.78,34.178522,-118.459234
2117,9.76,34.127194,-118.295647
2118,9.75,37.737572,-122.245507
2119,9.74,34.178483,-118.431791
2120,9.73,34.449185,-119.804782
2121,9.72,33.652675,-117.173568
2122,9.69,37.811406,-122.242458
2123,9.69,34.022502,-118.199613
2125,9.66,34.147149,-118.463365
2126,9.65,33.605086,-117.892319
2127,9.65,37.959549,-122.283578
2128,9.65,33.285274,-117.197777
2129,9.64,34.080017,-118.262643
2131,9.62,33.889151,-118.402127
2132,9.62,34.09254,-118.491064
2133,9.59,33.942108,-118.417488
2136,9.59,33.940445,-118.129022
2137,9.58,37.820661,-122.369655
2138,9.58,33.212444,-117.116098
2139,9.58,33.147294,-117.322181
2141,9.55,33.91714,-118.404267
2142,9.55,34.40778,-119.306554
2144,9.53,33.710582,-117.951129
2145,9.53,34.402343,-119.094824
2146,9.52,34.072862,-118.240989
2148,9.52,34.205247,-119.174092
2149,9.52,33.648169,-116.895308
2150,9.52,33.729853,-117.03406
2151,9.51,37.844672,-122.238105
2153,9.48,33.102005,-117.080419
2154,9.47,33.679591,-117.908531
2158,9.45,34.039034,-118.707992
2159,9.45,34.170854,-119.202409
2160,9.44,34.05038,-118.211991
2162,9.42,33.723228,-118.008692
2163,9.40,32.983606,-117.019035
2164,9.40,34.533222,-119.791731
2165,9.38,33.667301,-116.963506
2166,9.38,33.758405,-118.075043
2167,9.38,33.665848,-117.04966
2168,9.35,33.937886,-118.358559
2170,9.33,33.947305,-118.439841
2171,9.32,33.956526,-118.358654
2180,9.30,34.129772,-118.330989
2181,9.30,33.987729,-118.186597
2182,9.30,33.921793,-118.140588
2183,9.29,34.181971,-119.224985
